"","units","context","element","taxonid","symmetry","taxongroup","elementtype","variablename","ecologicalgroup","samples","sites"
"858","NISP",NA,"valve",10676,NA,"Diatoms","valve","Epithemia turgida var. granulata","DIAT",17,17
"859","NISP",NA,"valve",10677,NA,"Diatoms","valve","Epithemia reichelti","DIAT",1,1
"860","NISP",NA,"valve",10682,NA,"Diatoms","valve","Epithemia spp.","DIAT",74,51
"861","NISP",NA,"valve",10683,NA,"Diatoms","valve","Epithemia sp. 1?","DIAT",11,11
"862","NISP",NA,"valve",10684,NA,"Diatoms","valve","Eunotia arcus","DIAT",180,88
"863","NISP",NA,"valve",10686,NA,"Diatoms","valve","Eunotia bactriana","DIAT",72,33
"864","NISP",NA,"valve",10687,NA,"Diatoms","valve","Eunotia bidentula","DIAT",414,173
"865","NISP",NA,"valve",10688,NA,"Diatoms","valve","Eunotia bigibba","DIAT",133,49
"866","NISP",NA,"valve",10689,NA,"Diatoms","valve","Eunotia bigibba var. pumila","DIAT",53,36
"867","NISP",NA,"valve",10690,NA,"Diatoms","valve","Eunotia carolina","DIAT",90,62
"868","NISP",NA,"valve",10691,NA,"Diatoms","valve","Eunotia curvata","DIAT",935,250
"869","NISP",NA,"valve",10692,NA,"Diatoms","valve","Eunotia curvata var. capitata","DIAT",57,27
"870","NISP",NA,"valve",10693,NA,"Diatoms","valve","Eunotia curvata var. subarcuata","DIAT",188,121
"871","NISP",NA,"valve",10694,NA,"Diatoms","valve","Eunotia denticulata","DIAT",31,17
"872","NISP",NA,"valve",10695,NA,"Diatoms","valve","Eunotia diodon","DIAT",42,32
"873","NISP",NA,"valve",10696,NA,"Diatoms","valve","Eunotia elegans","DIAT",326,120
"874","NISP",NA,"valve",10697,NA,"Diatoms","valve","Eunotia exigua","DIAT",1090,395
"875","NISP",NA,"valve",10698,NA,"Diatoms","valve","Eunotia exigua var. bidens","DIAT",16,7
"876","NISP",NA,"valve",10699,NA,"Diatoms","valve","Eunotia exigua var. tridentula","DIAT",2,2
"877","NISP",NA,"valve",10700,NA,"Diatoms","valve","Eunotia fallax","DIAT",240,99
"878","NISP",NA,"valve",10701,NA,"Diatoms","valve","Eunotia flexuosa","DIAT",883,414
"879","NISP",NA,"valve",10702,NA,"Diatoms","valve","Eunotia flexuosa var. eurycephala","DIAT",26,26
"880","NISP",NA,"valve",10703,NA,"Diatoms","valve","Eunotia formica","DIAT",167,154
"881","NISP",NA,"valve",10704,NA,"Diatoms","valve","Eunotia gibbosa","DIAT",35,14
"882","NISP",NA,"valve",10705,NA,"Diatoms","valve","Eunotia hemicyclus","DIAT",320,117
"883","NISP",NA,"valve",10706,NA,"Diatoms","valve","Eunotia hexaglyphis","DIAT",80,75
"884","NISP",NA,"valve",10707,NA,"Diatoms","valve","Eunotia iatriaensis","DIAT",381,117
"885","NISP",NA,"valve",10708,NA,"Diatoms","valve","Eunotia incisa","DIAT",1561,612
"886","NISP",NA,"valve",10709,NA,"Diatoms","valve","Eunotia kocheliensis","DIAT",7,6
"887","NISP",NA,"valve",10710,NA,"Diatoms","valve","Eunotia lapponica","DIAT",71,24
"888","NISP",NA,"valve",10711,NA,"Diatoms","valve","Eunotia lunaris var. attenuata","DIAT",338,108
"889","NISP",NA,"valve",10712,NA,"Diatoms","valve","Eunotia maior","DIAT",25,24
"890","NISP",NA,"valve",10713,NA,"Diatoms","valve","Eunotia meisteri","DIAT",419,203
"891","NISP",NA,"valve",10714,NA,"Diatoms","valve","Eunotia meisteri var. bidens","DIAT",111,51
"892","NISP",NA,"valve",10715,NA,"Diatoms","valve","Eunotia microcephala","DIAT",379,122
"893","NISP",NA,"valve",10716,NA,"Diatoms","valve","Eunotia microcephala var. tridentata","DIAT",74,45
"894","NISP",NA,"valve",10717,NA,"Diatoms","valve","Eunotia monodon","DIAT",161,69
"895","NISP",NA,"valve",10718,NA,"Diatoms","valve","Eunotia naegelii","DIAT",655,276
"896","NISP",NA,"valve",10719,NA,"Diatoms","valve","Eunotia nivalis","DIAT",1,1
"897","NISP",NA,"valve",10720,NA,"Diatoms","valve","Eunotia parallela","DIAT",61,54
"898","NISP",NA,"valve",10721,NA,"Diatoms","valve","Eunotia pectinalis","DIAT",296,206
"899","NISP",NA,"valve",10722,NA,"Diatoms","valve","Eunotia pectinalis var. minor","DIAT",474,200
"900","NISP",NA,"valve",10723,NA,"Diatoms","valve","Eunotia pectinalis var. undulata","DIAT",218,194
"901","NISP",NA,"valve",10724,NA,"Diatoms","valve","Eunotia pectinalis var. ventricosa","DIAT",711,194
"902","NISP",NA,"valve",10725,NA,"Diatoms","valve","Eunotia perpusilla","DIAT",43,30
"903","NISP",NA,"valve",10726,NA,"Diatoms","valve","Eunotia curvata var. 1 PIRLA","DIAT",4,4
"904","NISP",NA,"valve",10727,NA,"Diatoms","valve","Eunotia praerupta","DIAT",465,148
"905","NISP",NA,"valve",10728,NA,"Diatoms","valve","Eunotia praerupta var. bidens","DIAT",5,5
"906","NISP",NA,"valve",10729,NA,"Diatoms","valve","Eunotia praerupta var. inflata","DIAT",9,5
"907","NISP",NA,"valve",10730,NA,"Diatoms","valve","Eunotia praerupta var. muscicola","DIAT",2,2
"908","NISP",NA,"valve",10731,NA,"Diatoms","valve","Eunotia quaternaria","DIAT",1,1
"909","NISP",NA,"valve",10732,NA,"Diatoms","valve","Eunotia reflexa fo. minores","DIAT",1,1
"910","NISP",NA,"valve",10733,NA,"Diatoms","valve","Eunotia rhomboidea","DIAT",571,273
"911","NISP",NA,"valve",10734,NA,"Diatoms","valve","Eunotia rostellata","DIAT",11,8
"912","NISP",NA,"valve",10735,NA,"Diatoms","valve","Eunotia septentrionalis","DIAT",272,107
"913","NISP",NA,"valve",10736,NA,"Diatoms","valve","Eunotia serra","DIAT",604,182
"914","NISP",NA,"valve",10737,NA,"Diatoms","valve","Eunotia serra var. diadema","DIAT",63,60
"915","NISP",NA,"valve",10738,NA,"Diatoms","valve","Eunotia soleirolii","DIAT",30,30
"916","NISP",NA,"valve",10739,NA,"Diatoms","valve","Eunotia sp. 31 PIRLA","DIAT",14,8
"917","NISP",NA,"valve",10740,NA,"Diatoms","valve","Eunotia submonodon","DIAT",1,1
"918","NISP",NA,"valve",10741,NA,"Diatoms","valve","Eunotia sudetica","DIAT",119,70
"919","NISP",NA,"valve",10742,NA,"Diatoms","valve","Eunotia tenella","DIAT",468,227
"920","NISP",NA,"valve",10743,NA,"Diatoms","valve","Eunotia trinacria","DIAT",14,12
"921","NISP",NA,"valve",10744,NA,"Diatoms","valve","Eunotia trinacria var. undulata","DIAT",21,16
"922","NISP",NA,"valve",10745,NA,"Diatoms","valve","Eunotia triodon","DIAT",18,6
"923","NISP",NA,"valve",10746,NA,"Diatoms","valve","Eunotia valida","DIAT",122,35
"924","NISP",NA,"valve",10747,NA,"Diatoms","valve","Eunotia vanheurckii","DIAT",509,150
"925","NISP",NA,"valve",10748,NA,"Diatoms","valve","Eunotia intermedia","DIAT",237,192
"926","NISP",NA,"valve",10749,NA,"Diatoms","valve","Eunotia zasuminensis","DIAT",495,177
"927","NISP",NA,"valve",10750,NA,"Diatoms","valve","Eunotia carolina var. 1 PIRLA","DIAT",81,68
"928","NISP",NA,"valve",10751,NA,"Diatoms","valve","Eunotia pectinalis var. 4 PIRLA","DIAT",2,2
"929","NISP",NA,"valve",10752,NA,"Diatoms","valve","Eunotia indica","DIAT",5,5
"930","NISP",NA,"valve",10753,NA,"Diatoms","valve","Eunotia sp. 8 PIRLA","DIAT",91,47
"931","NISP",NA,"valve",10754,NA,"Diatoms","valve","Eunotia sp. 9 PIRLA","DIAT",9,6
"932","NISP",NA,"valve",10755,NA,"Diatoms","valve","Eunotia incisa var. 1 PIRLA","DIAT",26,26
"933","NISP",NA,"valve",10756,NA,"Diatoms","valve","Eunotia sp. 12 PIRLA","DIAT",4,4
"934","NISP",NA,"valve",10757,NA,"Diatoms","valve","Eunotia sp. 19 PIRLA","DIAT",18,10
"935","NISP",NA,"valve",10758,NA,"Diatoms","valve","Eunotia tenelloides","DIAT",10,10
"936","NISP",NA,"valve",10759,NA,"Diatoms","valve","Eunotia sp. 18 PIRLA","DIAT",84,56
"937","NISP",NA,"valve",10760,NA,"Diatoms","valve","Eunotia sp. 17 PIRLA","DIAT",1,1
"938","NISP",NA,"valve",10761,NA,"Diatoms","valve","Eunotia sp. 10 PIRLA","DIAT",4,4
"939","NISP",NA,"valve",10762,NA,"Diatoms","valve","Eunotia praerupta cf. var. monodon fo. polaris","DIAT",62,61
"940","NISP",NA,"valve",10763,NA,"Diatoms","valve","Eunotia incisa var. 2 PIRLA","DIAT",12,12
"941","NISP",NA,"valve",10764,NA,"Diatoms","valve","Eunotia sp. 13 PIRLA","DIAT",11,5
"942","NISP",NA,"valve",10765,NA,"Diatoms","valve","Eunotia paludosa","DIAT",59,55
"943","NISP",NA,"valve",10766,NA,"Diatoms","valve","Eunotia steineckei","DIAT",6,6
"944","NISP",NA,"valve",10767,NA,"Diatoms","valve","Eunotia sp. 2 PIRLA","DIAT",38,30
"945","NISP",NA,"valve",10768,NA,"Diatoms","valve","Eunotia sp. 40 PIRLA","DIAT",40,30
"946","NISP",NA,"valve",10769,NA,"Diatoms","valve","Eunotia sp. 41 PIRLA","DIAT",9,9
"947","NISP",NA,"valve",10770,NA,"Diatoms","valve","Eunotia sp. 42 PIRLA","DIAT",19,19
"948","NISP",NA,"valve",10771,NA,"Diatoms","valve","Eunotia sp. 43 PIRLA","DIAT",5,5
"949","NISP",NA,"valve",10772,NA,"Diatoms","valve","Eunotia sp. 44 PIRLA","DIAT",21,21
"950","NISP",NA,"valve",10773,NA,"Diatoms","valve","Eunotia sp. 45 PIRLA","DIAT",5,5
"951","NISP",NA,"valve",10774,NA,"Diatoms","valve","Eunotia sp. 46 PIRLA","DIAT",13,13
"952","NISP",NA,"valve",10775,NA,"Diatoms","valve","Eunotia camelus","DIAT",2,2
"953","NISP",NA,"valve",10776,NA,"Diatoms","valve","Eunotia incisa var. 3 PIRLA","DIAT",7,7
"954","NISP",NA,"valve",10777,NA,"Diatoms","valve","Eunotia incisa var. 4 PIRLA","DIAT",21,21
"955","NISP",NA,"valve",10778,NA,"Diatoms","valve","Eunotia cf. vanheurckii","DIAT",1,1
"956","NISP",NA,"valve",10779,NA,"Diatoms","valve","Eunotia incisa var. 6 PIRLA","DIAT",69,44
"957","NISP",NA,"valve",10780,NA,"Diatoms","valve","Eunotia curvata var. 2 PIRLA","DIAT",6,4
"958","NISP",NA,"valve",10781,NA,"Diatoms","valve","Eunotia sp. 3 PIRLA","DIAT",1,1
"959","NISP",NA,"valve",10782,NA,"Diatoms","valve","Eunotia sp. 16 PIRLA","DIAT",1,1
"960","NISP",NA,"valve",10783,NA,"Diatoms","valve","Eunotia sp. 22 PIRLA","DIAT",3,3
"961","NISP",NA,"valve",10784,NA,"Diatoms","valve","Eunotia sp. 1 PIRLA","DIAT",84,61
"962","NISP",NA,"valve",10785,NA,"Diatoms","valve","Eunotia pirla","DIAT",197,114
"963","NISP",NA,"valve",10787,NA,"Diatoms","valve","Eunotia sp. 38 PIRLA","DIAT",7,4
"964","NISP",NA,"valve",10788,NA,"Diatoms","valve","Eunotia sp. 39 PIRLA","DIAT",8,5
"965","NISP",NA,"valve",10789,NA,"Diatoms","valve","Eunotia sp. 48 PIRLA","DIAT",69,28
"966","NISP",NA,"valve",10790,NA,"Diatoms","valve","Eunotia sp. 49 PIRLA","DIAT",4,4
"967","NISP",NA,"valve",10791,NA,"Diatoms","valve","Eunotia sp. 51 PIRLA","DIAT",2,2
"968","NISP",NA,"valve",10792,NA,"Diatoms","valve","Eunotia sp. 52 PIRLA","DIAT",9,8
"969","NISP",NA,"valve",10793,NA,"Diatoms","valve","Eunotia zasuminensis var. 1 PIRLA","DIAT",3,3
"970","NISP",NA,"valve",10795,NA,"Diatoms","valve","Eunotia exigua var. compacta","DIAT",3,3
"971","NISP",NA,"valve",10796,NA,"Diatoms","valve","Eunotia sp. 36 PIRLA","DIAT",7,3
"972","NISP",NA,"valve",10797,NA,"Diatoms","valve","Eunotia cf. meisteri","DIAT",2,2
"973","NISP",NA,"valve",10798,NA,"Diatoms","valve","Eunotia sp. 11 PIRLA","DIAT",21,17
"974","NISP",NA,"valve",10799,NA,"Diatoms","valve","Eunotia sp. 4 PIRLA","DIAT",5,5
"975","NISP",NA,"valve",10800,NA,"Diatoms","valve","Eunotia sp. 30 PIRLA","DIAT",24,15
"976","NISP",NA,"valve",10801,NA,"Diatoms","valve","Eunotia sp. 29 PIRLA","DIAT",25,5
"977","NISP",NA,"valve",10802,NA,"Diatoms","valve","Eunotia punctastriatum","DIAT",131,77
"978","NISP",NA,"valve",10803,NA,"Diatoms","valve","Eunotia sp. 35 PIRLA","DIAT",21,17
"979","NISP",NA,"valve",10804,NA,"Diatoms","valve","Eunotia sp. 7 PIRLA","DIAT",2,2
"980","NISP",NA,"valve",10805,NA,"Diatoms","valve","Eunotia tautoniensis","DIAT",15,15
"981","NISP",NA,"valve",10806,NA,"Diatoms","valve","Eunotia sp. 54 PIRLA","DIAT",4,4
"982","NISP",NA,"valve",10807,NA,"Diatoms","valve","Eunotia sp. 57 PIRLA","DIAT",2,2
"983","NISP",NA,"valve",10808,NA,"Diatoms","valve","Eunotia sp. 6 PIRLA","DIAT",13,7
"984","NISP",NA,"valve",10809,NA,"Diatoms","valve","Eunotia incisa var. 8 PIRLA","DIAT",5,3
"985","NISP",NA,"valve",10810,NA,"Diatoms","valve","Eunotia maior var. ventricosa","DIAT",3,1
"986","NISP",NA,"valve",10811,NA,"Diatoms","valve","Eunotia sp. 53 PIRLA","DIAT",2,2
"987","NISP",NA,"valve",10812,NA,"Diatoms","valve","Eunotia sp. 21 PIRLA","DIAT",11,11
"988","NISP",NA,"valve",10813,NA,"Diatoms","valve","Eunotia sp. 15 PIRLA","DIAT",8,3
"989","NISP",NA,"valve",10814,NA,"Diatoms","valve","Eunotia monodon var. constricta","DIAT",5,5
"990","NISP",NA,"valve",10815,NA,"Diatoms","valve","Eunotia arcus var. fallax","DIAT",1,1
"991","NISP",NA,"valve",10816,NA,"Diatoms","valve","Eunotia fallax var. gracillima","DIAT",8,7
"992","NISP",NA,"valve",10817,NA,"Diatoms","valve","Eunotia testudinata","DIAT",1,1
"993","NISP",NA,"valve",10820,NA,"Diatoms","valve","Eunotia sp. 60 PIRLA","DIAT",1,1
"994","NISP",NA,"valve",10821,NA,"Diatoms","valve","Eunotia sp. 61 PIRLA","DIAT",2,2
"995","NISP",NA,"valve",10822,NA,"Diatoms","valve","Eunotia sp. 62 PIRLA","DIAT",1,1
"996","NISP",NA,"valve",10823,NA,"Diatoms","valve","Eunotia sp. 63 PIRLA","DIAT",17,15
"997","NISP",NA,"valve",10824,NA,"Diatoms","valve","Eunotia sp. 64 PIRLA","DIAT",1,1
"998","NISP",NA,"valve",10825,NA,"Diatoms","valve","Eunotia sp. 65 PIRLA","DIAT",1,1
"999","NISP",NA,"valve",10827,NA,"Diatoms","valve","Eunotia sp. 68 PIRLA","DIAT",3,3
"1000","NISP",NA,"valve",10828,NA,"Diatoms","valve","Eunotia sp. 69 PIRLA","DIAT",2,2
"1001","NISP",NA,"valve",10832,NA,"Diatoms","valve","Eunotia zygodon","DIAT",27,27
"1002","NISP",NA,"valve",10834,NA,"Diatoms","valve","Eunotia sp. 37 PIRLA","DIAT",7,1
"1003","NISP",NA,"valve",10835,NA,"Diatoms","valve","Eunotia suecica","DIAT",3,3
"1004","NISP",NA,"valve",10836,NA,"Diatoms","valve","Eunotia tridentula","DIAT",8,8
"1005","NISP",NA,"valve",10837,NA,"Diatoms","valve","Eunotia polydentula","DIAT",126,97
"1006","NISP",NA,"valve",10838,NA,"Diatoms","valve","Eunotia diodon fo. integra","DIAT",4,4
"1007","NISP",NA,"valve",10839,NA,"Diatoms","valve","Eunotia pectinalis var. biarcuata","DIAT",14,14
"1008","NISP",NA,"valve",10840,NA,"Diatoms","valve","Eunotia pectinalis fo. delta","DIAT",1,1
"1009","NISP",NA,"valve",10841,NA,"Diatoms","valve","Eunotia sp. 73 PIRLA","DIAT",5,5
"1010","NISP",NA,"valve",10842,NA,"Diatoms","valve","Eunotia sp. 74 PIRLA","DIAT",4,4
"1011","NISP",NA,"valve",10843,NA,"Diatoms","valve","Eunotia implicata","DIAT",125,110
"1012","NISP",NA,"valve",10844,NA,"Diatoms","valve","Eunotia muscicola var. tridentula","DIAT",77,60
"1013","NISP",NA,"valve",10845,NA,"Diatoms","valve","Eunotia serra var. tetraodon","DIAT",10,10
"1014","NISP",NA,"valve",10846,NA,"Diatoms","valve","Eunotia faba","DIAT",143,106
"1015","NISP",NA,"valve",10847,NA,"Diatoms","valve","Eunotia vanheurckii var. intermedia","DIAT",71,55
"1016","NISP",NA,"valve",10849,NA,"Diatoms","valve","Eunotia glacialis","DIAT",20,20
"1017","NISP",NA,"valve",10850,NA,"Diatoms","valve","Eunotia minor","DIAT",77,76
"1018","NISP",NA,"valve",10852,NA,"Diatoms","valve","Eunotia bilunaris","DIAT",255,227
"1019","NISP",NA,"valve",10854,NA,"Diatoms","valve","Eunotia siberica","DIAT",41,11
"1020","NISP",NA,"valve",10856,NA,"Diatoms","valve","Eunotia rhynchocephala","DIAT",71,63
"1021","NISP",NA,"valve",10859,NA,"Diatoms","valve","Eunotia circumborealis","DIAT",10,10
"1022","NISP",NA,"valve",10860,NA,"Diatoms","valve","Eunotia bilunaris var. mucophila","DIAT",230,115
"1023","NISP",NA,"valve",10861,NA,"Diatoms","valve","Eunotia paludosa var. trinacria","DIAT",4,4
"1024","NISP",NA,"valve",10863,NA,"Diatoms","valve","Eunotia rabenhorstii","DIAT",2,2
"1025","NISP",NA,"valve",10864,NA,"Diatoms","valve","Eunotia bilunaris var. linearis","DIAT",15,15
"1026","NISP",NA,"valve",10865,NA,"Diatoms","valve","Eunotia siolii","DIAT",4,4
"1027","NISP",NA,"valve",10866,NA,"Diatoms","valve","Eunotia spp.","DIAT",414,262
"1028","NISP",NA,"valve",10867,NA,"Diatoms","valve","Eunotia sp. 1 ?","DIAT",272,186
"1029","NISP",NA,"valve",10868,NA,"Diatoms","valve","Eunotia sp. 2 ?","DIAT",183,114
"1030","NISP",NA,"valve",10869,NA,"Diatoms","valve","Eunotia sp. 3 ?","DIAT",131,80
"1031","NISP",NA,"valve",10870,NA,"Diatoms","valve","Eunotia sp. 4 ?","DIAT",89,58
"1032","NISP",NA,"valve",10871,NA,"Diatoms","valve","Eunotia sp. 5 ?","DIAT",60,45
"1033","NISP",NA,"valve",10872,NA,"Diatoms","valve","Eunotia sp. 6 ?","DIAT",34,33
"1034","NISP",NA,"valve",10873,NA,"Diatoms","valve","Eunotia sp. 7 ?","DIAT",22,21
"1035","NISP",NA,"valve",10874,NA,"Diatoms","valve","Eunotia sp. 8 ?","DIAT",15,14
"1036","NISP",NA,"valve",10875,NA,"Diatoms","valve","Eunotia sp. 9 ?","DIAT",11,10
"1037","NISP",NA,"valve",10876,NA,"Diatoms","valve","Eunotia sp. 10 ?","DIAT",6,6
"1038","NISP",NA,"valve",10877,NA,"Diatoms","valve","Fragilaria bicapitata","DIAT",13,13
"1039","NISP",NA,"valve",10878,NA,"Diatoms","valve","Fragilaria brevistriata","DIAT",772,321
"1040","NISP",NA,"valve",10879,NA,"Diatoms","valve","Fragilaria brevistriata var. elliptica","DIAT",52,19
"1041","NISP",NA,"valve",10880,NA,"Diatoms","valve","Fragilaria brevistriata var. capitata","DIAT",115,104
"1042","NISP",NA,"valve",10881,NA,"Diatoms","valve","Fragilaria capucina","DIAT",727,345
"1043","NISP",NA,"valve",10882,NA,"Diatoms","valve","Fragilaria constricta","DIAT",358,150
"1044","NISP",NA,"valve",10883,NA,"Diatoms","valve","Fragilaria constricta fo. stricta","DIAT",171,64
"1045","NISP",NA,"valve",10884,NA,"Diatoms","valve","Fragilaria constricta var. tetranodis","DIAT",3,3
"1046","NISP",NA,"valve",10885,NA,"Diatoms","valve","Fragilaria constricta var. trinodis","DIAT",22,17
"1047","NISP",NA,"valve",10886,NA,"Diatoms","valve","Fragilaria construens","DIAT",513,223
"1048","NISP",NA,"valve",10887,NA,"Diatoms","valve","Fragilaria construens var. binodis","DIAT",372,184
"1049","NISP",NA,"valve",10888,NA,"Diatoms","valve","Fragilaria construens var. pumila","DIAT",204,77
"1050","NISP",NA,"valve",10889,NA,"Diatoms","valve","Fragilaria construens var. subsalina","DIAT",14,14
"1051","NISP",NA,"valve",10890,NA,"Diatoms","valve","Fragilaria construens var. venter","DIAT",422,296
"1052","NISP",NA,"valve",10891,NA,"Diatoms","valve","Fragilaria crotonensis","DIAT",919,607
"1053","NISP",NA,"valve",10892,NA,"Diatoms","valve","Fragilaria heidenii","DIAT",2,2
"1054","NISP",NA,"valve",10893,NA,"Diatoms","valve","Fragilaria hungarica var. tumida","DIAT",207,81
"1055","NISP",NA,"valve",10894,NA,"Diatoms","valve","Fragilaria lapponica","DIAT",87,84
"1056","NISP",NA,"valve",10895,NA,"Diatoms","valve","Fragilaria lata","DIAT",190,94
"1057","NISP",NA,"valve",10896,NA,"Diatoms","valve","Fragilaria leptostauron","DIAT",48,30
"1058","NISP",NA,"valve",10897,NA,"Diatoms","valve","Fragilaria leptostauron var. dubia","DIAT",48,48
"1059","NISP",NA,"valve",10898,NA,"Diatoms","valve","Fragilaria nitzschioides","DIAT",41,41
"1060","NISP",NA,"valve",10899,NA,"Diatoms","valve","Fragilaria pinnata","DIAT",804,377
"1061","NISP",NA,"valve",10900,NA,"Diatoms","valve","Fragilaria pinnata var. intercedens","DIAT",120,89
"1062","NISP",NA,"valve",10901,NA,"Diatoms","valve","Fragilaria pinnata var. lancettula","DIAT",133,106
"1063","NISP",NA,"valve",10902,NA,"Diatoms","valve","Fragilaria polygonata","DIAT",226,170
"1064","NISP",NA,"valve",10903,NA,"Diatoms","valve","Fragilaria vaucheriae","DIAT",750,588
"1065","NISP",NA,"valve",10904,NA,"Diatoms","valve","Fragilaria vaucheriae var. distans","DIAT",1,1
"1066","NISP",NA,"valve",10905,NA,"Diatoms","valve","Fragilaria virescens","DIAT",184,172
"1067","NISP",NA,"valve",10906,NA,"Diatoms","valve","Fragilaria virescens var. capitata","DIAT",28,28
"1068","NISP",NA,"valve",10907,NA,"Diatoms","valve","Fragilaria virescens var. oblongella","DIAT",4,4
"1069","NISP",NA,"valve",10908,NA,"Diatoms","valve","Fragilaria virescens var. subsalina","DIAT",5,5
"1070","NISP",NA,"valve",10909,NA,"Diatoms","valve","Fragilaria acidobiontica","DIAT",230,64
"1071","NISP",NA,"valve",10910,NA,"Diatoms","valve","Fragilaria virescens var. exigua","DIAT",787,274
"1072","NISP",NA,"valve",10911,NA,"Diatoms","valve","Fragilaria pinnata var. acuminata","DIAT",220,138
"1073","NISP",NA,"valve",10912,NA,"Diatoms","valve","Fragilaria suboldenburgiana","DIAT",125,76
"1074","NISP",NA,"valve",10913,NA,"Diatoms","valve","Fragilaria brevistriata var. inflata","DIAT",64,57
"1075","NISP",NA,"valve",10914,NA,"Diatoms","valve","Fragilaria sp. 1 PIRLA","DIAT",12,12
"1076","NISP",NA,"valve",10915,NA,"Diatoms","valve","Fragilaria sp. 2 PIRLA","DIAT",96,30
"1077","NISP",NA,"valve",10916,NA,"Diatoms","valve","Fragilaria sp. 3 PIRLA","DIAT",57,41
"1078","NISP",NA,"valve",10917,NA,"Diatoms","valve","Fragilaria sp. 4 PIRLA","DIAT",15,11
"1079","NISP",NA,"valve",10918,NA,"Diatoms","valve","Fragilaria sp. 8 PIRLA","DIAT",59,26
"1080","NISP",NA,"valve",10919,NA,"Diatoms","valve","Fragilaria sp. 5 PIRLA","DIAT",51,27
"1081","NISP",NA,"valve",10920,NA,"Diatoms","valve","Fragilaria sp. 7 PIRLA","DIAT",1,1
"1082","NISP",NA,"valve",10921,NA,"Diatoms","valve","Fragilaria pinnata vars.","DIAT",49,49
"1083","NISP",NA,"valve",10922,NA,"Diatoms","valve","Fragilaria sp. 6 PIRLA","DIAT",8,8
"1084","NISP",NA,"valve",10923,NA,"Diatoms","valve","Fragilaria pinnata var. lancettula fo. subcapitata","DIAT",22,22
"1085","NISP",NA,"valve",10924,NA,"Diatoms","valve","Fragilaria capucina var. mesolepta","DIAT",253,243
"1086","NISP",NA,"valve",10925,NA,"Diatoms","valve","Fragilaria sp. 9 PIRLA","DIAT",13,13
"1087","NISP",NA,"valve",10926,NA,"Diatoms","valve","Fragilaria sp. 10 PIRLA","DIAT",1,1
"1088","NISP",NA,"valve",10927,NA,"Diatoms","valve","Fragilaria sp. 11 PIRLA","DIAT",14,14
"1089","NISP",NA,"valve",10928,NA,"Diatoms","valve","Fragilaria sp. 12 PIRLA","DIAT",1,1
"1090","NISP",NA,"valve",10929,NA,"Diatoms","valve","Fragilaria sp. 13 PIRLA","DIAT",2,2
"1091","NISP",NA,"valve",10930,NA,"Diatoms","valve","Fragilaria sp. 14 PIRLA","DIAT",1,1
"1092","NISP",NA,"valve",10931,NA,"Diatoms","valve","Fragilaria sp. 15 PIRLA","DIAT",17,17
"1093","NISP",NA,"valve",10932,NA,"Diatoms","valve","Fragilaria sp. 16 PIRLA","DIAT",2,2
"1094","NISP",NA,"valve",10933,NA,"Diatoms","valve","Fragilaria sp. 17 PIRLA","DIAT",9,9
"1095","NISP",NA,"valve",10934,NA,"Diatoms","valve","Fragilaria sp. 18 PIRLA","DIAT",1,1
"1096","NISP",NA,"valve",10937,NA,"Diatoms","valve","Fragilaria pinnata var. trigona","DIAT",13,11
"1097","NISP",NA,"valve",10939,NA,"Diatoms","valve","Fragilaria fasciculata","DIAT",87,87
"1098","NISP",NA,"valve",10940,NA,"Diatoms","valve","Fragilaria cf. construens var. venter","DIAT",83,83
"1099","NISP",NA,"valve",10941,NA,"Diatoms","valve","Fragilaria construens var. exigua","DIAT",36,36
"1100","NISP",NA,"valve",10942,NA,"Diatoms","valve","Fragilaria crotonensis var. oregona","DIAT",23,23
"1101","NISP",NA,"valve",10944,NA,"Diatoms","valve","Fragilaria vaucheriae var. capitellata","DIAT",26,24
"1102","NISP",NA,"valve",10947,NA,"Diatoms","valve","Fragilaria nanana","DIAT",147,135
"1103","NISP",NA,"valve",10948,NA,"Diatoms","valve","Fragilaria neoproducta","DIAT",28,26
"1104","NISP",NA,"valve",10949,NA,"Diatoms","valve","Fragilaria robusta","DIAT",5,5
"1105","NISP",NA,"valve",10950,NA,"Diatoms","valve","Fragilaria oldenburgiana","DIAT",246,49
"1106","NISP",NA,"valve",10951,NA,"Diatoms","valve","Fragilaria pseudoconstruens","DIAT",29,28
"1107","NISP",NA,"valve",10952,NA,"Diatoms","valve","Fragilaria capucina var. gracilis","DIAT",316,291
"1108","NISP",NA,"valve",10953,NA,"Diatoms","valve","Fragilaria inflata","DIAT",5,5
"1109","NISP",NA,"valve",10954,NA,"Diatoms","valve","Fragilaria pinnata/sublitoralis","DIAT",1,1
"1110","NISP",NA,"valve",10955,NA,"Diatoms","valve","Fragilaria cyclopum","DIAT",36,36
"1111","NISP",NA,"valve",10956,NA,"Diatoms","valve","Fragilaria famelica","DIAT",32,30
"1112","NISP",NA,"valve",10957,NA,"Diatoms","valve","Fragilaria tenera","DIAT",342,314
"1113","NISP",NA,"valve",10961,NA,"Diatoms","valve","Fragilaria capucina var. rumpens","DIAT",111,36
"1114","NISP",NA,"valve",10963,NA,"Diatoms","valve","Fragilaria capensis","DIAT",1,1
"1115","NISP",NA,"valve",10965,NA,"Diatoms","valve","Fragilaria zeilleri var. elliptica","DIAT",33,30
"1116","NISP",NA,"valve",10967,NA,"Diatoms","valve","Fragilaria parasitica","DIAT",94,87
