,units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,replacement,ecologicalgroup,samples,sites
276,NISP,NA,valve,10526,NA,Diatoms,valve,Cymbella gaeumannii,Encyonema gaeumannii,DIAT,436,115
342,NISP,NA,valve,10609,NA,Diatoms,valve,Cymbella gracilis,,DIAT,223,182
3680,percent,NA,valve,10609,NA,Diatoms,valve,Cymbella gracilis,,DIAT,8,8
277,NISP,NA,valve,10527,NA,Diatoms,valve,Cymbella hebridica,Encyonema hebridicum,DIAT,485,163
335,NISP,NA,valve,10600,NA,Diatoms,valve,Cymbella helvetica,,DIAT,14,14
336,NISP,NA,valve,10601,NA,Diatoms,valve,Cymbella heteropleura,,DIAT,19,12
302,NISP,NA,valve,10556,NA,Diatoms,valve,Cymbella heteropleura var. subrostrata,,DIAT,2,2
321,NISP,NA,valve,10585,NA,Diatoms,valve,Cymbella hustedtii,,DIAT,16,16
322,NISP,NA,valve,10586,NA,Diatoms,valve,Cymbella hybrida,,DIAT,41,19
301,NISP,NA,valve,10555,NA,Diatoms,valve,Cymbella hybrida var. 1 PIRLA,,DIAT,2,2
315,NISP,NA,valve,10577,NA,Diatoms,valve,Cymbella inaequalis,,DIAT,6,6
337,NISP,NA,valve,10602,NA,Diatoms,valve,Cymbella incerta,,DIAT,128,79
340,NISP,NA,valve,10606,NA,Diatoms,valve,Cymbella incerta var. crassipunctata,,DIAT,13,13
2275,NISP,NA,valve,25069,NA,Diatoms,valve,Cymbella incerta var. linearis,,DIAT,1,1
332,NISP,NA,valve,10597,NA,Diatoms,valve,Cymbella laevis,,DIAT,26,24
3679,percent,NA,valve,10597,NA,Diatoms,valve,Cymbella laevis,,DIAT,1,1
331,NISP,NA,valve,10596,NA,Diatoms,valve,Cymbella lanceolata,,DIAT,18,18
3678,percent,NA,valve,10596,NA,Diatoms,valve,Cymbella lanceolata,,DIAT,1,1
341,NISP,NA,valve,10608,NA,Diatoms,valve,Cymbella lapponica,,DIAT,7,7
323,NISP,NA,valve,10588,NA,Diatoms,valve,Cymbella leptoceros,,DIAT,15,15
278,NISP,NA,valve,10528,NA,Diatoms,valve,Cymbella lunata,Encyonema lunatum,DIAT,751,158
3673,percent,NA,valve,10528,NA,Diatoms,valve,Cymbella lunata,Encyonema lunatum,DIAT,5,5
343,NISP,NA,valve,10610,NA,Diatoms,valve,Cymbella mesiana,,DIAT,56,55
324,NISP,NA,valve,10589,NA,Diatoms,valve,Cymbella mexicana,,DIAT,7,5
279,NISP,NA,valve,10529,NA,Diatoms,valve,Cymbella microcephala,Encyonopsis microcephala,DIAT,460,144
280,NISP,NA,valve,10530,NA,Diatoms,valve,Cymbella microcephala var. crassa,,DIAT,2,2
281,NISP,NA,valve,10531,NA,Diatoms,valve,Cymbella minuta,Encyonema minutum,DIAT,380,131
282,NISP,NA,valve,10532,NA,Diatoms,valve,Cymbella minuta fo. latens,,DIAT,11,11
283,NISP,NA,valve,10533,NA,Diatoms,valve,Cymbella minuta var. pseudogracilis,,DIAT,3,3
284,NISP,NA,valve,10534,NA,Diatoms,valve,Cymbella minuta var. silesiaca,,DIAT,57,57
296,NISP,NA,valve,10547,NA,Diatoms,valve,Cymbella muelleri,,DIAT,6,6
333,NISP,NA,valve,10598,NA,Diatoms,valve,Cymbella muelleri fo. ventricosa,,DIAT,6,6
1830,NISP,NA,valve,12657,NA,Diatoms,valve,Cymbella naviculacea,,DIAT,2,2
285,NISP,NA,valve,10535,NA,Diatoms,valve,Cymbella naviculiformis,,DIAT,147,103
3674,percent,NA,valve,10535,NA,Diatoms,valve,Cymbella naviculiformis,,DIAT,2,2
2276,NISP,NA,valve,25070,NA,Diatoms,valve,Cymbella neocistula,,DIAT,21,20
3807,present/absent,NA,valve,25070,NA,Diatoms,valve,Cymbella neocistula,,DIAT,1,1
3266,NISP,NA,valve,38973,NA,Diatoms,valve,Cymbella neocistula var. islandica,,DIAT,1,1
2219,NISP,NA,valve,24774,NA,Diatoms,valve,Cymbella norvegica,,DIAT,1,1
2181,NISP,NA,valve,24382,NA,Diatoms,valve,Cymbella obscura,,DIAT,4,4
2257,NISP,NA,valve,25010,NA,Diatoms,valve,Cymbella parva,,DIAT,3,3
286,NISP,NA,valve,10536,NA,Diatoms,valve,Cymbella perpusilla,Encyonema perpusillum,DIAT,74,34
3676,percent,NA,valve,10590,NA,Diatoms,valve,Cymbella prostrata,,DIAT,2,2
325,NISP,NA,valve,10590,NA,Diatoms,valve,Cymbella prostrata,,DIAT,1,1
318,NISP,NA,valve,10582,NA,Diatoms,valve,Cymbella proxima,,DIAT,33,30
287,NISP,NA,valve,10537,NA,Diatoms,valve,Cymbella pusilla,,DIAT,44,44
305,NISP,NA,valve,10563,NA,Diatoms,valve,Cymbella rainierensis,,DIAT,1,1
288,NISP,NA,valve,10538,NA,Diatoms,valve,Cymbella rupicola,,DIAT,1,1
2629,NISP,NA,valve,29732,NA,Diatoms,valve,Cymbella schubartii,,DIAT,240,38
339,NISP,NA,valve,10605,NA,Diatoms,valve,Cymbella schubartoides,,DIAT,90,23
346,NISP,NA,valve,10613,NA,Diatoms,valve,Cymbella silesiaca,,DIAT,37,32
2659,NISP,NA,valve,29882,NA,Diatoms,valve,Cymbella similis,,DIAT,2,2
306,NISP,NA,valve,10564,NA,Diatoms,valve,Cymbella sinuata,,DIAT,9,9
3675,percent,NA,valve,10564,NA,Diatoms,valve,Cymbella sinuata,,DIAT,1,1
2699,NISP,NA,valve,30326,NA,Diatoms,valve,Cymbella sp.,,DIAT,11,1
3066,NISP,NA,valve,38759,NA,Diatoms,valve,Cymbella sp. 1 NE Lakes,,DIAT,2,2
289,NISP,NA,valve,10539,NA,Diatoms,valve,Cymbella sp. 1 PIRLA,,DIAT,184,66
2170,NISP,NA,valve,24361,NA,Diatoms,valve,Cymbella sp. 1 PISCES,,DIAT,9,9
348,NISP,NA,valve,10615,NA,Diatoms,valve,Cymbella sp. 1?,,DIAT,157,95
300,NISP,NA,valve,10554,NA,Diatoms,valve,Cymbella sp. 10 PIRLA,,DIAT,3,3
2961,NISP,NA,valve,36363,NA,Diatoms,valve,Cymbella sp. 11 NLA DB,,DIAT,1,1
307,NISP,NA,valve,10565,NA,Diatoms,valve,Cymbella sp. 14 PIRLA,,DIAT,2,2
308,NISP,NA,valve,10566,NA,Diatoms,valve,Cymbella sp. 16 PIRLA,,DIAT,1,1
2904,NISP,NA,valve,36209,NA,Diatoms,valve,Cymbella sp. 17 NLA DB,,DIAT,1,1
309,NISP,NA,valve,10567,NA,Diatoms,valve,Cymbella sp. 17 PIRLA,,DIAT,1,1
310,NISP,NA,valve,10568,NA,Diatoms,valve,Cymbella sp. 18 PIRLA,,DIAT,10,10
311,NISP,NA,valve,10569,NA,Diatoms,valve,Cymbella sp. 19 PIRLA,,DIAT,2,2
349,NISP,NA,valve,10616,NA,Diatoms,valve,Cymbella sp. 2 ?,,DIAT,49,26
291,NISP,NA,valve,10541,NA,Diatoms,valve,Cymbella sp. 2 PIRLA,,DIAT,1,1
312,NISP,NA,valve,10570,NA,Diatoms,valve,Cymbella sp. 20 PIRLA,,DIAT,2,2
313,NISP,NA,valve,10571,NA,Diatoms,valve,Cymbella sp. 21 PIRLA,,DIAT,6,6
314,NISP,NA,valve,10573,NA,Diatoms,valve,Cymbella sp. 23 PIRLA,,DIAT,1,1
350,NISP,NA,valve,10617,NA,Diatoms,valve,Cymbella sp. 3 ?,,DIAT,7,6
351,NISP,NA,valve,10618,NA,Diatoms,valve,Cymbella sp. 4 ?,,DIAT,5,5
352,NISP,NA,valve,10619,NA,Diatoms,valve,Cymbella sp. 5 ?,,DIAT,1,1
3432,NISP,NA,valve,39300,NA,Diatoms,valve,Cymbella sp. 5 NLA JPK,,DIAT,1,1
2962,NISP,NA,valve,36364,NA,Diatoms,valve,Cymbella sp. 5 NLS PJG cf. aspera,,DIAT,2,2
293,NISP,NA,valve,10544,NA,Diatoms,valve,Cymbella sp. 5 PIRLA,,DIAT,6,4
353,NISP,NA,valve,10620,NA,Diatoms,valve,Cymbella sp. 7 ?,,DIAT,1,1
299,NISP,NA,valve,10551,NA,Diatoms,valve,Cymbella sp. 7 PIRLA,,DIAT,1,1
298,NISP,NA,valve,10549,NA,Diatoms,valve,Cymbella sp. 9 PIRLA,,DIAT,4,4
347,NISP,NA,valve,10614,NA,Diatoms,valve,Cymbella spp.,,DIAT,185,156
290,NISP,NA,valve,10540,NA,Diatoms,valve,Cymbella spuria,,DIAT,1,1
2186,NISP,NA,valve,24418,NA,Diatoms,valve,Cymbella subaequalis,,DIAT,7,7
338,NISP,NA,valve,10604,NA,Diatoms,valve,Cymbella subaequalis fo. krasskei,,DIAT,2,2
2519,NISP,NA,valve,27992,NA,Diatoms,valve,Cymbella subaequalis morph B,,DIAT,3,3
2277,NISP,NA,valve,25071,NA,Diatoms,valve,Cymbella subarctica,,DIAT,4,4
344,NISP,NA,valve,10611,NA,Diatoms,valve,Cymbella subcuspidata,,DIAT,9,9
2278,NISP,NA,valve,25073,NA,Diatoms,valve,Cymbella subleptoceros,,DIAT,4,4
1984,NISP,NA,valve,12943,NA,Diatoms,valve,Cymbella subturgidula,,DIAT,3,3
2266,NISP,NA,valve,25019,NA,Diatoms,valve,Cymbella thumensis,,DIAT,5,5
316,NISP,NA,valve,10580,NA,Diatoms,valve,Cymbella tumida,,DIAT,7,7
326,NISP,NA,valve,10591,NA,Diatoms,valve,Cymbella tumidula,,DIAT,6,6
2425,NISP,NA,valve,27014,NA,Diatoms,valve,Cymbella tumidula var. lancettula,,DIAT,1,1
2639,NISP,NA,valve,29807,NA,Diatoms,valve,Cymbella turgida,,DIAT,21,9
327,NISP,NA,valve,10592,NA,Diatoms,valve,Cymbella turgidula,,DIAT,2,2
2248,NISP,NA,valve,25001,NA,Diatoms,valve,Cymbella ventricosa,,DIAT,59,59
3786,percent,NA,valve,25001,NA,Diatoms,valve,Cymbella ventricosa,,DIAT,5,5
2112,NISP,NA,valve,13243,NA,Diatoms,valve,Cymbellafalsa diluviana,,DIAT,5,4
3271,NISP,NA,valve,38978,NA,Diatoms,valve,Cymbopleura amphicephala,,DIAT,6,6
3588,NISP,NA,valve,47985,NA,Diatoms,valve,Cymbopleura angustata (mostly cf. angustata -- smaller forms),,DIAT,16,16
3272,NISP,NA,valve,38979,NA,Diatoms,valve,Cymbopleura apiculata,,DIAT,5,5
2570,NISP,NA,valve,28145,NA,Diatoms,valve,Cymbopleura cf. subaequalis (distinct triundulate form) sensu S. Wilson,,DIAT,2,2
1753,NISP,NA,valve,12517,NA,Diatoms,valve,Cymbopleura cuspidata,,DIAT,10,10
3804,present/absent,NA,valve,12517,NA,Diatoms,valve,Cymbopleura cuspidata,,DIAT,1,1
2507,NISP,NA,valve,27943,NA,Diatoms,valve,Cymbopleura designata,,DIAT,6,6
3273,NISP,NA,valve,38980,NA,Diatoms,valve,Cymbopleura fluminea,,DIAT,2,2
2091,NISP,NA,valve,13191,NA,Diatoms,valve,Cymbopleura hauckii,,DIAT,1,1
3461,NISP,NA,valve,41171,NA,Diatoms,valve,Cymbopleura heinii,,DIAT,3,3
2090,NISP,NA,valve,13190,NA,Diatoms,valve,Cymbopleura inaequalis,,DIAT,4,4
2094,NISP,NA,valve,13199,NA,Diatoms,valve,Cymbopleura incerta,,DIAT,9,9
3274,NISP,NA,valve,38981,NA,Diatoms,valve,Cymbopleura incertiformis,,DIAT,12,12
3275,NISP,NA,valve,38982,NA,Diatoms,valve,Cymbopleura incertiformis var. laterostrata,,DIAT,3,3
2092,NISP,NA,valve,13193,NA,Diatoms,valve,Cymbopleura naviculiformis,,DIAT,38,33
3276,NISP,NA,valve,38983,NA,Diatoms,valve,Cymbopleura perprocera,,DIAT,11,11
3067,NISP,NA,valve,38760,NA,Diatoms,valve,Cymbopleura sp. 1 NE Lakes,,DIAT,3,3
3068,NISP,NA,valve,38761,NA,Diatoms,valve,Cymbopleura sp. 2 NE Lakes,,DIAT,1,1
2093,NISP,NA,valve,13198,NA,Diatoms,valve,Cymbopleura stauroneiformis,,DIAT,3,3
2095,NISP,NA,valve,13200,NA,Diatoms,valve,Cymbopleura subaequalis,,DIAT,1,1
2089,NISP,NA,valve,13189,NA,Diatoms,valve,Cymbopleura subcuspidata,,DIAT,25,20
3277,NISP,NA,valve,38984,NA,Diatoms,valve,Cymbopleura sublanceolata,,DIAT,12,12
3278,NISP,NA,valve,38985,NA,Diatoms,valve,Cymbopleura subrostrata,,DIAT,1,1
1938,NISP,NA,valve,12857,NA,Diatoms,valve,Decussata placenta,,DIAT,6,6
2429,NISP,NA,valve,27071,NA,Diatoms,valve,Delicata delicatula,,DIAT,7,7
3069,NISP,NA,valve,38774,NA,Diatoms,valve,Delicata sp. 1 NE Lakes,,DIAT,7,7
2055,NISP,NA,valve,13109,NA,Diatoms,valve,Delphineis minutissima,,DIAT,1,1
354,NISP,NA,valve,10622,NA,Diatoms,valve,Denticula elegans,,DIAT,8,8
360,NISP,NA,valve,10628,NA,Diatoms,valve,Denticula kuetzingii,,DIAT,90,89
3800,present/absent,NA,valve,10628,NA,Diatoms,valve,Denticula kuetzingii,,DIAT,1,1
359,NISP,NA,valve,10627,NA,Diatoms,valve,Denticula kuetzingii var. rumrichae,,DIAT,8,8
1831,NISP,NA,valve,12658,NA,Diatoms,valve,Denticula spp.,,DIAT,17,16
357,NISP,NA,valve,10625,NA,Diatoms,valve,Denticula subtilis,,DIAT,2,2
355,NISP,NA,valve,10623,NA,Diatoms,valve,Denticula tenuis,,DIAT,32,29
356,NISP,NA,valve,10624,NA,Diatoms,valve,Denticula tenuis var. crassula,,DIAT,4,4
358,NISP,NA,valve,10626,NA,Diatoms,valve,Denticula valida,,DIAT,12,12
361,NISP,NA,valve,10629,NA,Diatoms,valve,Desmogonium rabenhorstianum var. elongatum,,DIAT,2,2
2540,NISP,NA,valve,28026,NA,Diatoms,valve,Diadesmis aff. contenta/Navicula schmassmanni,,DIAT,2,2
2354,NISP,NA,valve,25317,NA,Diatoms,valve,Diadesmis cf. gallica,,DIAT,2,2
2553,NISP,NA,valve,28040,NA,Diatoms,valve,Diadesmis cf. gallica var. ?,,DIAT,1,1
1774,NISP,NA,valve,12540,NA,Diatoms,valve,Diadesmis confervacea,,DIAT,44,40
1775,NISP,NA,valve,12541,NA,Diatoms,valve,Diadesmis contenta,,DIAT,27,26
2963,NISP,NA,valve,36365,NA,Diatoms,valve,Diadesmis contenta var. biceps,,DIAT,1,1
2510,NISP,NA,valve,27956,NA,Diatoms,valve,Diadesmis contenta var. contenta,,DIAT,5,5
1776,NISP,NA,valve,12542,NA,Diatoms,valve,Diadesmis gallica,,DIAT,1,1
2279,NISP,NA,valve,25074,NA,Diatoms,valve,Diadesmis gallica var. perpusilla,,DIAT,4,4
1777,NISP,NA,valve,12544,NA,Diatoms,valve,Diadesmis perpusilla,,DIAT,5,5
2905,NISP,NA,valve,36210,NA,Diatoms,valve,Diadesmis sp. 1 NLA DB,,DIAT,4,4
362,NISP,NA,valve,10630,NA,Diatoms,valve,Diatoma anceps,,DIAT,40,21
2430,NISP,NA,valve,27073,NA,Diatoms,valve,Diatoma hiemale,,DIAT,15,6
2431,NISP,NA,valve,27074,NA,Diatoms,valve,Diatoma hiemale var. mesodon,,DIAT,2,2
364,NISP,NA,valve,10632,NA,Diatoms,valve,Diatoma hyemalis,,DIAT,1,1
363,NISP,NA,valve,10631,NA,Diatoms,valve,Diatoma mesodon,,DIAT,50,42
367,NISP,NA,valve,10635,NA,Diatoms,valve,Diatoma moniliformis,,DIAT,16,16
371,NISP,NA,valve,10639,NA,Diatoms,valve,Diatoma spp.,,DIAT,6,6
2265,NISP,NA,valve,25018,NA,Diatoms,valve,Diatoma tenue,,DIAT,27,25
366,NISP,NA,valve,10634,NA,Diatoms,valve,Diatoma tenue var. elongatum,,DIAT,3,3
369,NISP,NA,valve,10637,NA,Diatoms,valve,Diatoma tenuis,,DIAT,68,68
2613,NISP,NA,valve,28937,NA,Diatoms,valve,Diatoma tenuis var. elongatum,,DIAT,18,18
365,NISP,NA,valve,10633,NA,Diatoms,valve,Diatoma vulgare,,DIAT,6,6
370,NISP,NA,valve,10638,NA,Diatoms,valve,Diatoma vulgaris,,DIAT,19,19
368,NISP,NA,valve,10636,NA,Diatoms,valve,Diatoma vulgaris var. breve,,DIAT,1,1
382,NISP,NA,valve,10653,NA,Diatoms,valve,Diploneis boldtiana,,DIAT,48,12
2817,NISP,NA,valve,35920,NA,Diatoms,valve,Diploneis cf. parma NLA DB,,DIAT,1,1
372,NISP,NA,valve,10643,NA,Diatoms,valve,Diploneis elliptica,,DIAT,53,47
373,NISP,NA,valve,10644,NA,Diatoms,valve,Diploneis finnica,,DIAT,96,63
3681,percent,NA,valve,10644,NA,Diatoms,valve,Diploneis finnica,,DIAT,9,9
3279,NISP,NA,valve,38986,NA,Diatoms,valve,Diploneis krammeri,,DIAT,12,12
374,NISP,NA,valve,10645,NA,Diatoms,valve,Diploneis marginestriata,,DIAT,378,159
387,NISP,NA,valve,10661,NA,Diatoms,valve,Diploneis modica,,DIAT,26,26
2526,NISP,NA,valve,28006,NA,Diatoms,valve,Diploneis nov. spec. Nr. 1 Julma Olkky,,DIAT,15,15
375,NISP,NA,valve,10646,NA,Diatoms,valve,Diploneis oblongella,,DIAT,46,46
3682,percent,NA,valve,10646,NA,Diatoms,valve,Diploneis oblongella,,DIAT,2,2
376,NISP,NA,valve,10647,NA,Diatoms,valve,Diploneis oculata,,DIAT,36,31
380,NISP,NA,valve,10651,NA,Diatoms,valve,Diploneis ovalis,,DIAT,49,34
2535,NISP,NA,valve,28020,NA,Diatoms,valve,Diploneis ovalis cf. subsp. ovalis,,DIAT,2,2
2521,NISP,NA,valve,27994,NA,Diatoms,valve,Diploneis ovalis subsp. ovalis,,DIAT,1,1
383,NISP,NA,valve,10655,NA,Diatoms,valve,Diploneis parma,,DIAT,137,71
379,NISP,NA,valve,10650,NA,Diatoms,valve,Diploneis peterseni,,DIAT,6,6
385,NISP,NA,valve,10657,NA,Diatoms,valve,Diploneis pseudovalis,,DIAT,8,8
386,NISP,NA,valve,10658,NA,Diatoms,valve,Diploneis puella,,DIAT,13,13
384,NISP,NA,valve,10656,NA,Diatoms,valve,Diploneis smithii,,DIAT,5,5
378,NISP,NA,valve,10649,NA,Diatoms,valve,Diploneis smithii var. dilatata,,DIAT,1,1
2480,NISP,NA,valve,27185,NA,Diatoms,valve,Diploneis sp. 1 ?,,DIAT,11,10
3070,NISP,NA,valve,38775,NA,Diatoms,valve,Diploneis sp. 1 NE Lakes,,DIAT,2,2
389,NISP,NA,valve,10663,NA,Diatoms,valve,Diploneis sp. 1?,,DIAT,1,1
381,NISP,NA,valve,10652,NA,Diatoms,valve,Diploneis sp. 2 PIRLA,,DIAT,1,1
388,NISP,NA,valve,10662,NA,Diatoms,valve,Diploneis spp.,,DIAT,9,9
377,NISP,NA,valve,10648,NA,Diatoms,valve,Diploneis subovalis,,DIAT,4,4
2660,NISP,NA,valve,29883,NA,Diatoms,valve,Diploneis undiff.,,DIAT,1,1
2066,NISP,NA,valve,13126,NA,Diatoms,valve,Discostella asterocostata,,DIAT,4,4
3023,NISP,NA,valve,36449,NA,Diatoms,valve,Discostella cf. glomerata,,DIAT,1,1
2891,NISP,NA,valve,36156,NA,Diatoms,valve,Discostella cf. woltereckii NLA JPK,,DIAT,1,1
2039,NISP,NA,valve,13086,NA,Diatoms,valve,Discostella glomerata,,DIAT,68,65
2040,NISP,NA,valve,13087,NA,Diatoms,valve,Discostella pseudostelligera,,DIAT,295,264
3489,NISP,NA,valve,45417,NA,Diatoms,valve,Discostella sp. 103 NLA DB,,DIAT,1,1
2852,NISP,NA,valve,36049,NA,Diatoms,valve,Discostella sp. 202 NLA BSL,,DIAT,3,3
2041,NISP,NA,valve,13088,NA,Diatoms,valve,Discostella stelligera,,DIAT,354,319
3478,NISP,NA,valve,41219,NA,Diatoms,valve,Discostella stelligera (small) PJG VT,,DIAT,8,8
3405,NISP,NA,valve,39119,NA,Diatoms,valve,Discostella stelligera/D. asterocostata,,DIAT,80,79
2042,NISP,NA,valve,13089,NA,Diatoms,valve,Discostella stelligeroides,,DIAT,7,7
2043,NISP,NA,valve,13090,NA,Diatoms,valve,Discostella woltereckii,,DIAT,52,44
3638,mg/L,NA,lab,25398,NA,Aquatic parameters,lab,Dissolved inorganic carbon,,WCHM,1,1
3637,mg/L,NA,lab,25197,NA,Aquatic parameters,lab,Dissolved organic carbon,,WCHM,1,1
3643,mg/L,NA,NA,25197,NA,Aquatic parameters,NA,Dissolved organic carbon,,WCHM,1,1
3829,μg/L,NA,NA,27426,NA,Aquatic parameters,NA,Dissolved organic nitrogen,,WCHM,1,1
3830,μg/L,NA,NA,27427,NA,Aquatic parameters,NA,Dissolved organic phosphorus,,WCHM,1,1
1697,NISP,NA,valve,12451,NA,Diatoms,valve,Encyonema auerswaldii,,DIAT,14,14
1689,NISP,NA,valve,12441,NA,Diatoms,valve,Encyonema brehmii,,DIAT,1,1
2774,NISP,NA,valve,35370,NA,Diatoms,valve,Encyonema caespitosum,,DIAT,4,4
2964,NISP,NA,valve,36366,NA,Diatoms,valve,Encyonema cf. lunatum NLA DB,,DIAT,1,1
2923,NISP,NA,valve,36275,NA,Diatoms,valve,Encyonema cf. minutum NLA DB,,DIAT,2,2
2531,NISP,NA,valve,28014,NA,Diatoms,valve,Encyonema cf. obscurum var. alpina,,DIAT,5,5
2834,NISP,NA,valve,36009,NA,Diatoms,valve,Encyonema cf. silesiacum NLA DB,,DIAT,2,2
2539,NISP,NA,valve,28025,NA,Diatoms,valve,Encyonema cf. subminutum,,DIAT,2,2
2965,NISP,NA,valve,36367,NA,Diatoms,valve,Encyonema cf. triangulum NLA DB,,DIAT,1,1
2314,NISP,NA,valve,25130,NA,Diatoms,valve,Encyonema cf. ventricosum,,DIAT,15,15
2560,NISP,NA,valve,28129,NA,Diatoms,valve,Encyonema dubium,,DIAT,3,3
2113,NISP,NA,valve,13244,NA,Diatoms,valve,Encyonema elginense,,DIAT,3,3
2280,NISP,NA,valve,25075,NA,Diatoms,valve,Encyonema fogedii,,DIAT,1,1
1690,NISP,NA,valve,12442,NA,Diatoms,valve,Encyonema gaeumannii,,DIAT,33,32
2432,NISP,NA,valve,27075,NA,Diatoms,valve,Encyonema gracile,,DIAT,6,6
2008,NISP,NA,valve,13031,NA,Diatoms,valve,Encyonema hebridicum,,DIAT,148,72
2327,NISP,NA,valve,25171,NA,Diatoms,valve,Encyonema hilliardii,,DIAT,108,13
1696,NISP,NA,valve,12450,NA,Diatoms,valve,Encyonema latens,,DIAT,10,10
1691,NISP,NA,valve,12443,NA,Diatoms,valve,Encyonema lunatum,,DIAT,172,80
3441,NISP,NA,valve,41060,NA,Diatoms,valve,Encyonema mesiana,,DIAT,2,2
2115,NISP,NA,valve,13247,NA,Diatoms,valve,Encyonema mesianum,,DIAT,3,3
1687,NISP,NA,valve,12438,NA,Diatoms,valve,Encyonema minutum,,DIAT,449,268
1692,NISP,NA,valve,12444,NA,Diatoms,valve,Encyonema muelleri,,DIAT,7,7
2114,NISP,NA,valve,13245,NA,Diatoms,valve,Encyonema neogracile,,DIAT,46,46
2187,NISP,NA,valve,24437,NA,Diatoms,valve,Encyonema norvegica,,DIAT,11,11
1896,NISP,NA,valve,12801,NA,Diatoms,valve,Encyonema norvegicum,,DIAT,8,8
2281,NISP,NA,valve,25076,NA,Diatoms,valve,Encyonema obscurum,,DIAT,5,5
2282,NISP,NA,valve,25077,NA,Diatoms,valve,Encyonema obscurum var. alpina,,DIAT,8,8
2085,NISP,NA,valve,13176,NA,Diatoms,valve,Encyonema paucistriatum,,DIAT,1,1
1796,NISP,NA,valve,12579,NA,Diatoms,valve,Encyonema pergracile,,DIAT,49,49
1693,NISP,NA,valve,12445,NA,Diatoms,valve,Encyonema perpusillum,,DIAT,36,35
3414,NISP,NA,valve,39128,NA,Diatoms,valve,Encyonema ponteanum,,DIAT,19,19
1694,NISP,NA,valve,12447,NA,Diatoms,valve,Encyonema reichardtii,,DIAT,5,5
1688,NISP,NA,valve,12439,NA,Diatoms,valve,Encyonema silesiacum,,DIAT,305,288
3610,NISP,NA,valve,49168,NA,Diatoms,valve,Encyonema silesiacum sensu lato,,DIAT,13,11
2449,NISP,NA,valve,27141,NA,Diatoms,valve,Encyonema sp.,,DIAT,10,10
2408,NISP,NA,valve,26997,NA,Diatoms,valve,Encyonema sp. 1?,,DIAT,3,3
3517,NISP,NA,valve,45608,NA,Diatoms,valve,Encyonema sp. 11 NLA DB,,DIAT,1,1
3554,NISP,NA,valve,45650,NA,Diatoms,valve,Encyonema sp. 110 NLA DB,,DIAT,1,1
2966,NISP,NA,valve,36368,NA,Diatoms,valve,Encyonema sp. 114 NLA DB,,DIAT,1,1
3071,NISP,NA,valve,38776,NA,Diatoms,valve,Encyonema sp. 2 NE Lakes,,DIAT,4,4
3072,NISP,NA,valve,38777,NA,Diatoms,valve,Encyonema sp. 3 NE Lakes,,DIAT,1,1
2321,NISP,NA,valve,25161,NA,Diatoms,valve,Encyonema spp.,,DIAT,10,10
1695,NISP,NA,valve,12449,NA,Diatoms,valve,Encyonema triangulum,,DIAT,23,23
2786,NISP,NA,valve,35856,NA,Diatoms,valve,Encyonema tumida,,DIAT,6,6
2283,NISP,NA,valve,25078,NA,Diatoms,valve,Encyonema ventricosum,,DIAT,19,19
2853,NISP,NA,valve,36050,NA,Diatoms,valve,Encyonopsis aff. cesatii EAM,,DIAT,13,13
2284,NISP,NA,valve,25079,NA,Diatoms,valve,Encyonopsis behrei,,DIAT,4,4
2285,NISP,NA,valve,25080,NA,Diatoms,valve,Encyonopsis cesatiformis,,DIAT,10,10
1781,NISP,NA,valve,12550,NA,Diatoms,valve,Encyonopsis cesatii,,DIAT,109,96
2967,NISP,NA,valve,36369,NA,Diatoms,valve,Encyonopsis cf. delicatissima NLA DB,,DIAT,1,1
2854,NISP,NA,valve,36051,NA,Diatoms,valve,Encyonopsis cf. falaisensis NLA JPK,,DIAT,1,1
2564,NISP,NA,valve,28135,NA,Diatoms,valve,Encyonopsis cf. microcephala (large) sensu S. Wilson,,DIAT,3,3
2571,NISP,NA,valve,28146,NA,Diatoms,valve,Encyonopsis cf. microcephala (much coarser) sensu S. Wilson,,DIAT,3,3
2787,NISP,NA,valve,35857,NA,Diatoms,valve,Encyonopsis cf. microcephala NLA DB,,DIAT,4,4
1994,NISP,NA,valve,12958,NA,Diatoms,valve,Encyonopsis descripta,,DIAT,35,35
3462,NISP,NA,valve,41173,NA,Diatoms,valve,Encyonopsis descriptiformis,,DIAT,3,3
1895,NISP,NA,valve,12800,NA,Diatoms,valve,Encyonopsis falaisensis,,DIAT,39,39
1964,NISP,NA,valve,12901,NA,Diatoms,valve,Encyonopsis krammeri,,DIAT,38,38
1782,NISP,NA,valve,12551,NA,Diatoms,valve,Encyonopsis microcephala,,DIAT,221,207
3589,NISP,NA,valve,47986,NA,Diatoms,valve,Encyonopsis microcephala (includes subminuta forms),,DIAT,31,31
3280,NISP,NA,valve,38987,NA,Diatoms,valve,Encyonopsis montana,,DIAT,8,8
3281,NISP,NA,valve,38988,NA,Diatoms,valve,Encyonopsis neerlandica,,DIAT,19,19
2464,NISP,NA,valve,27168,NA,Diatoms,valve,Encyonopsis sp.,,DIAT,7,7
3073,NISP,NA,valve,38778,NA,Diatoms,valve,Encyonopsis sp. 1 NE Lakes,,DIAT,3,3
3464,NISP,NA,valve,41201,NA,Diatoms,valve,Encyonopsis sp. 1?,,DIAT,1,1
3074,NISP,NA,valve,38779,NA,Diatoms,valve,Encyonopsis sp. 2 NE Lakes,,DIAT,3,3
